Gender,Age,Marital Status,At Fault Accidents,Moving Violations,Comprehensive Claims,Number of Claims,Late Payments,Payment Method,prediction(Insurance Category),confidence(High Risk - Do Not Insure),confidence(Low Risk),confidence(Moderate Risk),confidence(Potentially High Risk)
M,35,S,2,Yes,No,4,Yes,Credit Card,High Risk - Do Not Insure,1.0,0.0,0.0,0.0
M,62,S,0,Yes,Yes,5,No,Credit Card,Moderate Risk,0.0,0.0,1.0,0.0
F,45,M,1,Yes,Yes,0,No,Monthly Billing,Potentially High Risk,0.0,0.0,0.0,1.0
M,60,S,0,Yes,Yes,2,Yes,Website Account,Low Risk,0.0,1.0,0.0,0.0
M,63,S,3,Yes,Yes,0,No,Website Account,Moderate Risk,0.0,0.0,1.0,0.0
M,41,S,0,Yes,No,0,Yes,Monthly Billing,Low Risk,0.0,1.0,0.0,0.0
M,35,M,0,Yes,No,1,No,Credit Card,Moderate Risk,0.0,0.0,1.0,0.0
M,38,S,0,Yes,No,4,No,Monthly Billing,Moderate Risk,0.0,0.0,1.0,0.0
M,39,S,0,Yes,No,0,No,Credit Card,Moderate Risk,0.0,0.0,1.0,0.0
F,56,M,0,Yes,Yes,0,Yes,Website Account,Moderate Risk,0.0,0.0,1.0,0.0
F,50,M,0,Yes,Yes,2,Yes,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
F,37,S,0,Yes,No,0,No,Credit Card,Moderate Risk,0.0,0.0,1.0,0.0
M,46,S,1,Yes,Yes,0,Yes,Bank Transfer,Potentially High Risk,0.0,0.0,0.0,1.0
M,42,M,0,Yes,Yes,0,No,Website Account,Low Risk,0.0,1.0,0.0,0.0
M,34,M,0,No,No,0,Yes,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
F,48,S,0,Yes,Yes,0,Yes,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
F,60,M,0,Yes,Yes,4,No,Monthly Billing,Moderate Risk,0.0,0.0,1.0,0.0
M,56,M,3,Yes,Yes,2,No,Website Account,Potentially High Risk,0.0,0.0,0.0,1.0
M,36,M,0,Yes,No,2,No,Website Account,Low Risk,0.0,1.0,0.0,0.0
F,28,M,2,Yes,No,1,No,Bank Transfer,High Risk - Do Not Insure,1.0,0.0,0.0,0.0
F,59,S,0,Yes,Yes,3,Yes,Website Account,Low Risk,0.0,1.0,0.0,0.0
F,51,M,0,Yes,Yes,1,No,Website Account,Low Risk,0.0,1.0,0.0,0.0
F,63,S,0,Yes,Yes,0,No,Bank Transfer,Low Risk,0.0,1.0,0.0,0.0
F,65,S,0,Yes,Yes,3,Yes,Monthly Billing,Moderate Risk,0.0,0.0,1.0,0.0
F,56,S,0,Yes,Yes,4,No,Website Account,Moderate Risk,0.0,0.0,1.0,0.0
M,39,M,0,Yes,No,3,Yes,Website Account,Moderate Risk,0.0,0.0,1.0,0.0
F,33,S,1,Yes,No,3,No,Bank Transfer,Low Risk,0.0,1.0,0.0,0.0
F,18,M,0,No,No,1,Yes,Website Account,Moderate Risk,0.0,0.0,1.0,0.0
M,19,S,0,Yes,No,2,No,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
M,49,S,0,Yes,Yes,0,No,Credit Card,Low Risk,0.0,1.0,0.0,0.0
M,37,S,2,Yes,No,3,Yes,Bank Transfer,Potentially High Risk,0.0,0.0,0.0,1.0
F,42,S,3,Yes,Yes,0,No,Monthly Billing,Potentially High Risk,0.0,0.0,0.0,1.0
M,47,S,0,Yes,Yes,1,Yes,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
M,26,S,2,Yes,No,0,No,Website Account,Potentially High Risk,0.0,0.0,0.0,1.0
F,46,S,0,Yes,Yes,2,No,Website Account,Low Risk,0.0,1.0,0.0,0.0
F,41,S,0,Yes,Yes,3,No,Credit Card,Low Risk,0.0,1.0,0.0,0.0
F,46,M,0,No,Yes,2,Yes,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
M,57,M,3,Yes,Yes,3,No,Website Account,Low Risk,0.0,1.0,0.0,0.0
F,46,S,0,Yes,Yes,6,No,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
M,30,S,0,Yes,No,3,No,Bank Transfer,Low Risk,0.0,1.0,0.0,0.0
M,47,S,0,Yes,Yes,0,No,Bank Transfer,Low Risk,0.0,1.0,0.0,0.0
M,38,S,3,Yes,No,0,Yes,Monthly Billing,High Risk - Do Not Insure,1.0,0.0,0.0,0.0
M,38,S,0,Yes,No,3,No,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
F,57,M,2,Yes,Yes,5,Yes,Website Account,Potentially High Risk,0.0,0.0,0.0,1.0
M,57,S,0,Yes,Yes,0,Yes,Website Account,Low Risk,0.0,1.0,0.0,0.0
F,43,M,0,Yes,Yes,0,No,Website Account,Low Risk,0.0,1.0,0.0,0.0
M,31,M,0,Yes,No,0,Yes,Website Account,Moderate Risk,0.0,0.0,1.0,0.0
M,35,M,0,Yes,No,0,No,Monthly Billing,Low Risk,0.0,1.0,0.0,0.0
F,26,S,1,Yes,No,0,Yes,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
F,57,S,2,Yes,Yes,2,No,Website Account,Potentially High Risk,0.0,0.0,0.0,1.0
F,29,M,0,Yes,No,1,Yes,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
F,24,M,0,Yes,No,0,No,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
M,58,S,2,Yes,Yes,0,Yes,Bank Transfer,Potentially High Risk,0.0,0.0,0.0,1.0
F,47,S,0,Yes,Yes,0,Yes,Website Account,Moderate Risk,0.0,0.0,1.0,0.0
M,49,M,0,Yes,Yes,0,Yes,Credit Card,Moderate Risk,0.0,0.0,1.0,0.0
F,28,M,0,Yes,No,3,Yes,Website Account,Low Risk,0.0,1.0,0.0,0.0
M,44,M,0,Yes,Yes,2,No,Credit Card,Low Risk,0.0,1.0,0.0,0.0
M,24,M,0,Yes,No,5,No,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
F,60,M,1,Yes,Yes,0,No,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
M,63,M,1,Yes,Yes,0,No,Website Account,High Risk - Do Not Insure,1.0,0.0,0.0,0.0
M,43,M,2,Yes,Yes,0,No,Website Account,Potentially High Risk,0.0,0.0,0.0,1.0
M,33,S,2,Yes,No,4,No,Bank Transfer,Potentially High Risk,0.0,0.0,0.0,1.0
F,17,M,0,Yes,No,3,Yes,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
F,56,S,1,Yes,Yes,3,No,Website Account,High Risk - Do Not Insure,1.0,0.0,0.0,0.0
M,53,S,0,Yes,Yes,0,No,Website Account,Low Risk,0.0,1.0,0.0,0.0
M,16,M,2,Yes,No,0,No,Bank Transfer,High Risk - Do Not Insure,1.0,0.0,0.0,0.0
F,34,M,2,Yes,No,0,No,Credit Card,High Risk - Do Not Insure,1.0,0.0,0.0,0.0
M,66,S,0,Yes,Yes,2,No,Credit Card,Low Risk,0.0,1.0,0.0,0.0
M,21,S,0,Yes,No,0,Yes,Credit Card,Moderate Risk,0.0,0.0,1.0,0.0
M,21,M,0,Yes,No,3,No,Credit Card,Low Risk,0.0,1.0,0.0,0.0
M,37,M,1,Yes,No,4,No,Bank Transfer,Potentially High Risk,0.0,0.0,0.0,1.0
M,44,M,0,Yes,Yes,4,Yes,Website Account,Moderate Risk,0.0,0.0,1.0,0.0
F,22,M,2,Yes,No,2,Yes,Bank Transfer,Potentially High Risk,0.0,0.0,0.0,1.0
F,18,S,1,Yes,No,4,Yes,Bank Transfer,Potentially High Risk,0.0,0.0,0.0,1.0
F,65,M,2,No,Yes,0,No,Credit Card,Moderate Risk,0.0,0.0,1.0,0.0
F,46,S,3,Yes,Yes,3,No,Bank Transfer,High Risk - Do Not Insure,1.0,0.0,0.0,0.0
F,56,S,0,Yes,Yes,0,No,Website Account,Moderate Risk,0.0,0.0,1.0,0.0
F,17,M,2,Yes,No,2,No,Credit Card,High Risk - Do Not Insure,1.0,0.0,0.0,0.0
F,53,M,0,Yes,Yes,2,No,Bank Transfer,Low Risk,0.0,1.0,0.0,0.0
F,56,M,0,Yes,Yes,2,Yes,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
F,45,M,0,Yes,Yes,4,Yes,Credit Card,Moderate Risk,0.0,0.0,1.0,0.0
M,23,S,1,Yes,No,4,No,Credit Card,High Risk - Do Not Insure,1.0,0.0,0.0,0.0
M,30,M,1,No,No,0,No,Website Account,Moderate Risk,0.0,0.0,1.0,0.0
F,61,M,2,Yes,Yes,4,Yes,Credit Card,Potentially High Risk,0.0,0.0,0.0,1.0
M,22,S,0,Yes,No,4,No,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
M,41,M,1,Yes,No,0,No,Credit Card,Low Risk,0.0,1.0,0.0,0.0
F,41,M,1,Yes,No,0,No,Website Account,Moderate Risk,0.0,0.0,1.0,0.0
F,26,M,3,Yes,No,0,No,Monthly Billing,Potentially High Risk,0.0,0.0,0.0,1.0
M,37,S,0,Yes,No,3,No,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
F,20,S,0,Yes,No,0,No,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
F,45,M,0,Yes,Yes,0,Yes,Website Account,Moderate Risk,0.0,0.0,1.0,0.0
M,43,M,0,Yes,Yes,1,Yes,Monthly Billing,Moderate Risk,0.0,0.0,1.0,0.0
M,35,M,2,Yes,No,2,Yes,Credit Card,High Risk - Do Not Insure,1.0,0.0,0.0,0.0
F,47,M,0,Yes,Yes,2,No,Monthly Billing,Low Risk,0.0,1.0,0.0,0.0
F,47,S,0,Yes,Yes,0,Yes,Credit Card,Moderate Risk,0.0,0.0,1.0,0.0
F,62,M,1,Yes,Yes,1,No,Website Account,High Risk - Do Not Insure,1.0,0.0,0.0,0.0
M,55,S,0,Yes,Yes,6,No,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
F,62,S,0,Yes,Yes,4,Yes,Credit Card,Low Risk,0.0,1.0,0.0,0.0
F,24,S,1,Yes,No,0,Yes,Website Account,Moderate Risk,0.0,0.0,1.0,0.0
F,42,S,0,Yes,Yes,2,No,Website Account,Low Risk,0.0,1.0,0.0,0.0
M,60,M,0,Yes,Yes,0,Yes,Bank Transfer,Moderate Risk,0.0,0.0,1.0,0.0
M,66,M,0,Yes,Yes,4,Yes,Website Account,Moderate Risk,0.0,0.0,1.0,0.0
M,53,M,0,Yes,Yes,1,No,Website Account,Low Risk,0.0,1.0,0.0,0.0
M,36,S,2,Yes,No,5,Yes,Website Account,Potentially High Risk,0.0,0.0,0.0,1.0
